model,batch_size,learning_rate,filters,precision_area,recall_area,f1_score_area
Unet,32,0.0005,32,0.6485843062400818,0.6043857336044312,0.5860965847969055
Unet,64,0.0005,32,0.63397616147995,0.6481478810310364,0.6017760634422302
Unet,32,0.0005,64,0.6492785811424255,0.6141889691352844,0.5890570282936096
Unet,64,0.0005,64,0.6455230116844177,0.6216270327568054,0.6045952439308167
